WARNING 2025-03-29 19:23:13,870 log 1 140376261880632 Unauthorized: /auth/42/users/search/
WARNING 2025-03-29 19:23:27,469 log 1 140376261880632 Bad Request: /auth/users/search/
WARNING 2025-03-29 19:43:41,272 log 1 140062268193592 Unauthorized: /auth/42/friends/request/
WARNING 2025-03-29 20:11:56,648 log 1 139922368092984 Bad Request: /auth/users/search/
WARNING 2025-03-29 20:47:09,843 log 1 140124891208504 Not Found: /auth/friends/
WARNING 2025-03-29 20:47:09,845 log 1 140124891208504 Not Found: /auth/users/search/
WARNING 2025-03-29 20:49:53,360 log 1 140124891208504 Not Found: /auth/friends/
WARNING 2025-03-29 20:49:53,363 log 1 140124891208504 Not Found: /auth/users/search/
WARNING 2025-03-29 20:51:09,239 log 1 140124891208504 Not Found: /auth/friends/
WARNING 2025-03-29 20:51:09,241 log 1 140124891208504 Not Found: /auth/users/search/
WARNING 2025-03-29 20:51:16,000 log 1 140124891208504 Not Found: /auth/friends/
WARNING 2025-03-29 20:51:16,006 log 1 140124891208504 Not Found: /auth/users/search/
WARNING 2025-03-29 20:51:16,680 log 1 140124891208504 Not Found: /auth/friends/
WARNING 2025-03-29 20:51:16,687 log 1 140124891208504 Not Found: /auth/users/search/
WARNING 2025-03-29 20:53:19,447 log 1 140337358408504 Not Found: /auth/42/friends/
WARNING 2025-03-29 20:53:19,451 log 1 140337358408504 Not Found: /auth/42/users/search/
WARNING 2025-03-29 20:56:07,306 log 1 140337358408504 Not Found: /auth/42/friends/
WARNING 2025-03-29 20:56:07,308 log 1 140337358408504 Not Found: /auth/42/users/search/
WARNING 2025-03-29 20:56:12,147 log 1 140337358408504 Not Found: /auth/42/friends/
WARNING 2025-03-29 20:56:12,156 log 1 140337358408504 Not Found: /auth/42/users/search/
WARNING 2025-03-29 20:56:12,985 log 1 140337358408504 Not Found: /auth/42/friends/
WARNING 2025-03-29 20:56:12,994 log 1 140337358408504 Not Found: /auth/42/users/search/
WARNING 2025-03-29 20:56:19,019 log 1 140337358408504 Not Found: /auth/42/friends/
WARNING 2025-03-29 20:56:19,020 log 1 140337358408504 Not Found: /auth/42/users/search/
WARNING 2025-03-29 20:58:21,836 log 1 139706960309048 Not Found: /auth/users/search/
WARNING 2025-03-29 20:58:21,838 log 1 139706960309048 Not Found: /auth/friends/
WARNING 2025-03-29 20:58:37,235 log 1 139706960309048 Not Found: /auth/users/search/
WARNING 2025-03-29 20:59:18,923 log 1 139706960309048 Not Found: /auth/users/search/
WARNING 2025-03-29 21:03:41,359 log 1 140287843240760 Not Found: /auth/friends/
WARNING 2025-03-29 21:03:41,359 log 1 140287844301624 Not Found: /auth/users/search/
WARNING 2025-03-29 21:03:46,186 log 1 140287843240760 Not Found: /auth/friends/
WARNING 2025-03-29 21:03:46,192 log 1 140287844301624 Not Found: /auth/users/search/
WARNING 2025-03-29 21:03:51,493 log 1 140287844301624 Not Found: /auth/friends/
